,AC.PA,ALO.PA,ATO.PA,ACA.PA,BN.PA,DSY.PA,EDEN.PA,EDF.PA,ENGI.PA,ERF.PA,RMS.PA,KER.PA,LI.PA,OR.PA,MC.PA,ML.PA,ORA.PA,RI.PA,PUB.PA,RNO.PA,SAF.PA,SGO.PA,SAN.PA,SU.PA,GLE.PA,TEP.PA,HO.PA,TTE.PA,URW.PA,DG.PA,VIV.PA,WLN.PA
06/03/2015,231836400,309726500,101738690,2576365720,643791990,256469600,229216960,1860008420,2435284910,15233070,105569410,126267570,307036900,561230410,507743410,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1321077270,584716370,805208620,57201690,207841110,2385269530,98067680,590620480,1353082520,131926590
09/03/2015,231836400,309726500,101738690,2576365720,643791990,256469600,229216960,1860008420,2435284910,15233070,105569410,126267570,307036900,561230410,507770080,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1321077270,584716370,805208620,57201690,207841110,2385269530,98067680,590620480,1353082520,131926590
10/03/2015,231836400,309741490,101738690,2576365720,643791990,256469600,229216960,1860008420,2435284910,15233070,105569410,126267570,307036900,561230410,507770080,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1321077270,584716370,805208620,57201690,207841110,2385269530,98067680,590620480,1353082520,131926590
11/03/2015,233079880,309741490,101738690,2576365720,643791990,256835300,229216960,1860008420,2435284910,15233070,105569410,126267570,307036900,561230410,507770080,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385269530,98067680,590620480,1353082520,131926590
12/03/2015,233079880,309741490,101738690,2576365720,643791990,256835300,229216960,1860008420,2435284910,15233070,105569410,126267570,307036900,561230410,507770080,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385269530,98067680,590620480,1353082520,131926590
13/03/2015,233079880,309741490,101738690,2576365720,643791990,256835300,229216960,1860008420,2435284910,15233070,105569410,126267570,307036900,561230410,507770080,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98067680,590620480,1353082520,131926590
16/03/2015,233079880,309741490,101738690,2576365720,643791990,256835300,229216960,1860008420,2435284910,15233070,105569410,126267570,307036900,561230410,507770080,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98067680,590620480,1353082520,131926590
17/03/2015,233079880,309741490,101738690,2576365720,643791990,256835300,229216960,1860008420,2435284910,15233070,105569410,126267570,307036900,561230410,507770080,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98067680,590620480,1353082520,131926590
18/03/2015,233079880,309741490,101738690,2576365720,643791990,256835300,229216960,1860008420,2435284910,15233070,105569410,126267570,307036900,561230410,507770080,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98067680,590620480,1353082520,131926590
19/03/2015,233079880,309741490,101738690,2576365720,643791990,256835300,229216960,1860008420,2435284910,15233070,105569410,126267570,307036900,561230410,507770080,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98067680,590620480,1353082520,131926590
20/03/2015,233079880,309741490,101738690,2576365720,643791990,256835300,229216960,1860008420,2435284910,15233070,105569410,126267570,307036900,561230410,507770080,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98067680,590620480,1353082520,131926590
23/03/2015,233079880,309741490,101738690,2576365720,643791990,256835300,229216960,1860008420,2435284910,15233070,105569410,126267570,307036900,561230410,507770080,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98067680,590620480,1353082520,131926590
24/03/2015,233079880,309741490,101738690,2576365720,643791990,256835300,229216960,1860008420,2435284910,15233070,105569410,126267570,307036900,561230410,507770080,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,590620480,1353082520,131926590
25/03/2015,233079880,309741490,101954340,2576365720,643791990,256835300,229291720,1860008420,2435284910,15233070,105569410,126269920,307036900,561230410,507770080,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,590620480,1353082520,131926590
26/03/2015,233079880,309741490,101954340,2576365720,643791990,256835300,229291720,1860008420,2435284910,15233070,105569410,126269920,307036900,561230410,507770080,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,590620480,1353082520,131926590
27/03/2015,233079880,309741490,101954340,2576365720,643791990,256835300,229291720,1860008420,2435284910,15233070,105569410,126269920,307036900,561230410,507770080,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,590620480,1353082520,131926590
30/03/2015,233079880,309741490,101954340,2576365720,643791990,256835300,229291720,1860008420,2435284910,15233070,105569410,126269920,307036900,561230410,507770080,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,590620480,1353082520,131926590
31/03/2015,233079880,309741490,101954340,2576365720,643791990,256835300,229291720,1860008420,2435284910,15233070,105569410,126269920,307036900,561230410,507770080,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,590620480,1353082520,131926590
01/04/2015,233079880,309741490,101954340,2576365720,643791990,256835300,229291720,1860008420,2435284910,15233070,105569410,126269920,307036900,561230410,507770080,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,590620480,1353082520,131926590
02/04/2015,233079880,309741490,101954340,2576365720,643791990,256835300,229291720,1860008420,2435284910,15233070,105569410,126269920,314356050,561230410,507770080,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,590620480,1353082520,131926590
07/04/2015,231867950,309741490,101954340,2576365720,643791990,256835300,229291720,1860008420,2435284910,15233070,105569410,126269920,314356050,561230410,507770080,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,590620480,1353082520,131926590
08/04/2015,231867950,309741490,101954340,2576365720,643791990,255230680,229291720,1860008420,2435284910,15233070,105569410,126269920,314356050,561230410,507770080,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,590620480,1353082520,131926590
09/04/2015,231867950,309792510,101954340,2576365720,643791990,255230680,229291720,1860008420,2435284910,15233070,105569410,126269920,314356050,561230410,507770080,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,590620480,1353082520,131926590
10/04/2015,231867950,309792510,101954340,2576365720,643791990,255230680,229291720,1860008420,2435284910,15233070,105569410,126269920,314356050,561230410,507770080,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,590620480,1353082520,131926590
13/04/2015,231867950,309792510,101954340,2576365720,643791990,255230680,229291720,1860008420,2435284910,15233070,105569410,126269920,314356050,561230410,507821010,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,590620480,1353082520,131926590
14/04/2015,231867950,309792510,101954340,2576365720,643791990,255230680,229291720,1860008420,2435284910,15233070,105569410,126269920,314356050,561230410,507821010,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,590620480,1353082520,131926590
15/04/2015,231867950,309792510,101954340,2576365720,643791990,255230680,229291720,1860008420,2435284910,15233070,105569410,126269920,314356050,561230410,507821010,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,590620480,1353082520,131926590
16/04/2015,232069640,309792510,101954340,2576365720,643791990,255230680,229291720,1860008420,2435284910,15233070,105569410,126269920,314356050,561230410,507821010,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,590620480,1353082520,131926590
17/04/2015,232069640,309792510,101954340,2576365720,643791990,255230680,229291720,1860008420,2435284910,15233070,105569410,126269920,314356050,561230410,507821010,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,590620480,1353082520,131926590
20/04/2015,232069640,309792510,101954340,2576365720,643791990,255230680,229291720,1860008420,2435284910,15233070,105569410,126269920,314356050,561230410,507821010,185747990,2648885500,265421600,221148510,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,590620480,1362567750,131926590
21/04/2015,232069640,309792510,101954340,2576365720,643791990,255230680,229291720,1860008420,2435284910,15233070,105569410,126269920,314356050,561230410,507821010,185747990,2648885500,265421600,221227660,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,590620480,1362567750,131926590
22/04/2015,233349150,309792510,101954340,2576365720,643791990,255230680,229507190,1860008420,2435284910,15233070,105569410,126269920,314356050,561230410,507821010,185747990,2648885500,265421600,221628070,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,590620480,1362567750,131926590
23/04/2015,233349150,309792510,101954340,2576365720,643791990,255230680,229507190,1860008420,2435284910,15233070,105569410,126269920,314356050,561230410,507821010,185747990,2648885500,265421600,221628070,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,590620480,1362567750,131926590
24/04/2015,233349150,309792510,101954340,2576365720,643791990,255230680,229507190,1860008420,2435284910,15233070,105569410,126269920,314356050,561230410,507821010,185747990,2648885500,265421600,221628070,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,590620480,1362567750,131926590
27/04/2015,233349150,309792510,101954340,2576365720,643791990,255230680,229507190,1860008420,2435284910,15233070,105569410,126269920,314356050,561230410,507821010,185747990,2648885500,265421600,221683410,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,591359440,1362567750,131926590
28/04/2015,233349150,309792510,101954340,2576365720,643791990,255230680,229507190,1860008420,2435284910,15233070,105569410,126267570,314356050,561230410,507821010,185747990,2648885500,265421600,221683410,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,591359440,1362567750,131926590
29/04/2015,233349150,309792510,101954340,2576365720,643791990,255230680,229507190,1860008420,2435284910,15233070,105569410,126267570,314356050,561230410,507821010,185747990,2648885500,265421600,221683410,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98079190,591359440,1362567750,131926590
30/04/2015,233349150,309792510,101525250,2576365720,643791990,255230680,228864520,1860008420,2435284910,15233070,105569410,126267570,314356050,561230410,507821010,185747990,2648885500,265421600,221683410,295722290,417029570,561900210,1324534550,584795530,805214230,57201690,207841110,2385267580,98473220,591359440,1362567750,131926590
