"Date","ALL","PNC","MBI","AIG","HIG","UNM","HUM","KEY","CINF","GS","UNH","BK","NTRS","PGR","AXP","SEIC","FITB","ZION","CNA","BEN"
2023-01-27,0.530554267450985,0.856449365172414,0.542716041049346,0.817753062819422,0.801678721633066,0.609293504618765,0.511704675262257,0.857553235919293,0.64695887174988,0.649647428263774,0.618789370096558,0.808223903446388,0.786140119089724,0.603086737423502,0.847925888217568,0.804214934312584,0.85508181295237,0.827032856297018,0.737732649834023,0.762642656347267
2023-01-30,0.534164245074508,0.854741464962175,0.538704489859344,0.817575802955535,0.795957783255995,0.596135134576238,0.506381853583701,0.857222187804256,0.644918833194332,0.667347000914498,0.615598916992821,0.806047348504829,0.788230192949453,0.602359303325823,0.571993761070072,0.803057567988701,0.855870070200979,0.824452454335655,0.745100354815448,0.764135457172927
2023-01-31,0.534745203567458,0.85799638236404,0.538161600721102,0.817499237225127,0.796908208569338,0.599565084130736,0.504869149981942,0.857807558417172,0.370125095455156,0.649805333802796,0.61771931647369,0.809180170993205,0.783966923716024,0.602980389661447,0.746903917167023,0.802885826360094,0.855662960367305,0.824808809255597,0.752052455266842,0.762027527822787
2023-02-01,0.531121160306697,0.858678211951772,0.537552815570671,0.814708335696137,0.801096857020739,0.680753793415143,0.511002392787854,0.858195574706096,0.59532128518518,0.700763976138129,0.6431114884964,0.815512989079697,0.786184891330843,0.605126531271724,0.745799694568607,0.802854989727664,0.855557354014272,0.824847600902018,0.773181327855891,0.760080038283419
2023-02-02,0.535495800518313,0.861800256288826,0.538149093197418,0.803099277033347,0.796785562101639,0.565376558300501,0.510862348659566,0.855013372180676,0.628289292446424,0.728299702903827,0.640459756549671,0.816964996970232,0.788229358053681,0.604615038317085,0.745732625414828,0.800739336874983,0.854528314441795,0.824999807197492,0.698003858012954,0.758421836141375
2023-02-03,0.522146905074354,0.851178331808913,0.539173131629315,0.697283860914164,0.784838187193093,0.538060167230733,0.516346132862613,0.852676212527815,0.526554978489615,0.671639568179261,0.603519042033155,0.819396952210642,0.767081794046501,0.605721446617989,0.747890028419617,0.798074059399644,0.847844601526337,0.822040331508367,0.718437339946604,0.575419995887512
2023-02-06,0.52222634638091,0.85168750539739,0.537557773107065,0.764032590707789,0.80475678608911,0.536785392430064,0.503093196338424,0.852071054535935,0.615449238554184,0.690799597155991,0.636213545900043,0.820280437389578,0.770286134199906,0.60818836791692,0.708552826614616,0.801358556521899,0.846675860364007,0.821570572513141,0.735163824522483,0.56692875779448
2023-02-07,0.50899416642717,0.846877482626665,0.537831013597474,0.729410394461195,0.804520046169575,0.517589035830041,0.496410117517763,0.851525148536442,0.628006851023953,0.704730247065021,0.635958641953018,0.815038983076092,0.769664716330074,0.60873131739392,0.699970293727039,0.79525690292116,0.84622258728835,0.821302988990148,0.679845412619887,0.494981016366197
2023-02-08,0.51254690507643,0.837606084341553,0.53594016803828,0.786506372263185,0.804703574271951,0.546812913752294,0.480718443306246,0.851072414856014,0.542952737897668,0.73414558163453,0.612351153445895,0.819126115470057,0.775657239975934,0.610312336084132,0.705996522692909,0.799152713918418,0.845710240924926,0.820657337292442,0.704648139987845,0.487842581478387
2023-02-09,0.521469789543584,0.83990859505855,0.536766591428089,0.775398134520349,0.804362500904187,0.559205830869212,0.459951424167208,0.852144304801282,0.618598395289536,0.730485674204894,0.603424301154898,0.805767641400423,0.774122302741517,0.612727424620921,0.706155762839817,0.799013599971342,0.84596876046055,0.820358391466648,0.71736166290783,0.510967828525391
2023-02-10,0.532706695216061,0.844765943917378,0.53799623294674,0.7604679159398,0.80365701415864,0.62926349488892,0.461984490800555,0.852552815108356,0.634077322943586,0.764980908466358,0.589853348472031,0.79050803729082,0.768805684796612,0.61273140722032,0.683418828589645,0.798813214655399,0.845721442456485,0.823790858403778,0.692221611085316,0.573445039696424
2023-02-13,0.541364823328382,0.844015446591356,0.538956864498129,0.792765667709323,0.802706868492572,0.650766935684049,0.467564391882812,0.85200139487714,0.590986462657203,0.780987589688908,0.598955998005573,0.768166608754631,0.761363399625084,0.614074318507323,0.667100669160811,0.79673466123325,0.85254142489473,0.821806332016278,0.705032785796755,0.590135530898852
2023-02-14,0.546838541865224,0.843483493190214,0.537388553187667,0.80832918721704,0.804110374996659,0.625231061937325,0.470326659052305,0.851492900457031,0.631548798548685,0.775764498121826,0.596093027576276,0.774579159102327,0.759009163375827,0.614492998512636,0.676648556935886,0.798027735327296,0.852170676914225,0.821321421452491,0.74667526341973,0.653351113811713
2023-02-15,0.552479548615027,0.83896793092883,0.538672895326312,0.804809617680322,0.80284644438222,0.615153741040531,0.471622750734063,0.850759531672734,0.631657092070719,0.791903609936843,0.600728437344889,0.773580945200975,0.755115677605646,0.616930240468424,0.672620378274411,0.797645364272556,0.850976884703222,0.819846070698047,0.75044734151443,0.670368891194329
2023-02-16,0.547395582139228,0.83774442567969,0.537128592153403,0.794485963287661,0.802926997291862,0.605107715804269,0.472675461362124,0.86028816263029,0.631662182642308,0.79524817722865,0.602484461107798,0.793101195279798,0.75578423973746,0.615389471775101,0.676470926502726,0.79781770733488,0.850166119719346,0.821922162777629,0.730559079114891,0.693466839069922
2023-02-17,0.542972565339112,0.838404948641479,0.538865257630866,0.681421304432022,0.804771448487646,0.473267985874078,0.448194917293275,0.859350921890615,0.627854392641276,0.807864266560351,0.606274566431537,0.80953159923501,0.759512779028609,0.613638601546192,0.694379560836293,0.795249557813134,0.850199537515445,0.818188869615646,0.733879981066001,0.754064227258542
2023-02-21,0.535402144374799,0.840119436026623,0.537168786233212,0.577042552901671,0.80356842728489,0.497603539657439,0.450923656951381,0.858943957170658,0.631676183458782,0.799659161868285,0.596653174831714,0.790413937957674,0.760373276642306,0.613387813289336,0.691289015348056,0.790574444476403,0.849929530596124,0.820708706249116,0.737793878135422,0.749065514747485
2023-02-22,0.524547774773037,0.847799192884108,0.529838887306251,0.79340600605644,0.801971883812024,0.575353817988442,0.463642368598248,0.861680178162351,0.633725118815283,0.828235960479861,0.613306305318677,0.83704097587727,0.778998312319991,0.604699584379017,0.767204193270485,0.798234829982476,0.853443184679093,0.824196641265892,0.657156038517041,0.81883339667385
2023-02-23,0.525402623681826,0.841215654667559,0.526967613448729,0.693436625219972,0.803385279100042,0.573113735839485,0.46414013389809,0.860457031771883,0.631407424589763,0.825388781389767,0.614822744157521,0.821053467478072,0.776832801229952,0.602480510904714,0.701532381960742,0.797109028813956,0.852155124368343,0.823863029528999,0.669819582685446,0.802243455964598
2023-02-24,0.517503917026369,0.836606913262378,0.529983546381651,0.735582529386125,0.804232506998325,0.475632436839435,0.463333437750112,0.859594296236003,0.606815502985922,0.822518007944352,0.614942614634664,0.820317074921091,0.770707980206581,0.600362689587556,0.701420200819737,0.799215067840939,0.851338912244242,0.824200517474356,0.689171024890368,0.783085797136773
2023-02-27,0.512337011917011,0.834241050847276,0.524130083384124,0.77997403103367,0.80242477186369,0.470621257865026,0.464128662356359,0.854525773915467,0.612482032920969,0.819782483682805,0.597497734263976,0.818143810176381,0.768787700496205,0.590753743983896,0.74437427603719,0.796185490557164,0.848236230145989,0.818739856801917,0.694671707906282,0.751775999889347
