Dates ASML_Holding LVMH Lindle_PLC TOTALENERGIES SANOFI SAP L'OREAL SIEMENS ALLIANZ SCHNEIDER Deutsche_Telekom AIR_LIQUIDE IBERDROLA AIRBUS BNPP BAYER AXA VINCI Prosus Essilor Hermès Anheuser Mercedes Santander RICARD BASF ADYEN SAFRAN ENEL Münchener KERING ING Nordea Deutsche_Borse Danone Intesa Deutsche_Post Infineon Stellantis BBVA AHOLD ENI Volkswagen CRH Nokia Inditex BMW Adidas Flutter VONOVIA EUROSTOXX50
17/02/2022 659.309998 781.099976 301.970001 57.560001 52.779999 119.570000 356.700012 143.440002 227.000000 146.199997 17.540001 135.327271 9.350000 118.099998 63.750000 53.980000 28.174999 102.220001 67.879997 169.860001 1253.000000 63.470001 75.489998 3.820000 193.199997 68.300003 1980.000000 115.300003 6.428000 268.549988 634.900024 14.420000 108.820000 159.100006 55.080002 2.859000 52.150002 33.619999 19.170000 6.570000 27.959999 30.260000 187.820007 49.990002 5.740000 29.420000 94.919998 236.899994 10990.000000 47.110001 4149.560059
18/02/2022 652.119995 787.349976 299.809998 57.150002 52.619999 117.610001 355.850006 141.240005 224.000000 148.000000 17.468000 135.763641 9.402000 119.800003 62.330002 54.029999 27.915001 102.059998 67.500000 167.800003 1257.500000 63.549999 76.940002 3.780000 191.050003 68.279999 2041.500000 115.400002 6.484000 268.200012 668.000000 14.310000 107.320000 158.550003 55.220001 2.780000 50.740002 33.060001 18.969999 6.490000 26.684999 30.620001 186.380005 49.209999 5.690000 29.129999 94.730003 234.500000 10850.000000 47.740002 4139.879883
22/02/2022 638.500000 763.280029 291.200012 57.080002 51.840000 113.559998 363.049988 139.160004 219.649994 147.059998 17.246000 136.509094 9.426000 117.660004 62.000000 54.810001 27.225000 102.879997 66.400002 167.100006 1187.000000 61.500000 76.510002 3.750000 195.750000 67.800003 1902.000000 114.059998 6.524000 266.299988 666.299988 13.970000 110.000000 158.100006 55.700001 2.733500 49.764999 32.040001 18.490000 6.410000 27.035000 30.680000 184.119995 48.549999 5.510000 28.370001 96.360001 230.000000 10765.000000 46.900002 4107.720215
23/02/2022 651.080017 762.869995 295.850006 56.450001 53.169998 114.379997 360.750000 137.380005 216.300003 146.460007 17.238001 138.054550 9.356000 116.040001 62.320000 54.500000 27.135000 102.000000 63.000000 168.240005 1205.000000 63.680000 76.639999 3.740000 198.100006 67.779999 1810.000000 114.660004 6.496000 258.200012 674.000000 14.050000 105.480003 158.149994 56.310001 2.741000 49.544998 31.750000 19.719999 6.480000 27.209999 30.610001 181.500000 47.619999 5.560000 28.280001 96.610001 230.550003 10155.000000 46.889999 4090.709961
24/02/2022 600.289978 696.000000 276.750000 54.660000 50.349998 107.620003 340.700012 129.039993 201.600006 134.580002 16.400000 130.454544 9.000000 109.480003 59.029999 51.500000 25.740000 96.800003 59.500000 160.339996 1174.500000 60.400002 71.480003 3.310000 189.699997 63.560001 1750.000000 108.680000 6.181000 252.050003 636.099976 12.400000 107.800003 152.100006 54.400002 2.600000 46.014999 29.540001 17.639999 5.870000 26.000000 30.530001 168.500000 43.290001 5.130000 26.670000 89.629997 218.100006 10480.000000 45.410000 3960.199951
25/02/2022 656.909973 735.000000 287.679993 54.380001 52.299999 113.599998 346.200012 132.139999 207.850006 139.220001 16.639999 133.927277 9.240000 114.559998 61.000000 52.750000 26.500000 97.919998 59.880001 162.500000 1212.000000 64.300003 74.300003 3.510000 193.899994 65.559998 1865.199951 112.900002 6.366000 253.050003 643.500000 12.780000 104.400002 154.899994 55.500000 2.672500 46.750000 30.570000 18.639999 6.080000 26.299999 30.770000 189.160004 44.900002 5.440000 27.750000 91.000000 221.050003 10015.000000 46.009998 3991.659912
28/02/2022 647.650024 731.849976 287.959991 50.759998 52.119999 112.180000 332.600006 125.739998 198.000000 130.720001 15.896000 130.454544 8.988000 108.239998 55.430000 50.869999 24.700001 93.419998 53.009998 154.160004 1172.500000 62.450001 69.000000 3.320000 188.000000 61.959999 1655.599976 108.559998 6.100000 243.750000 613.799988 11.620000 105.599998 149.050003 54.299999 2.490000 42.915001 28.830000 17.840000 5.840000 25.934999 30.709999 176.000000 44.750000 5.340000 26.459999 87.250000 202.149994 10395.000000 44.430000 3939.510010
01/03/2022 660.210022 718.169983 292.000000 50.099998 51.439999 111.139999 344.399994 126.120003 204.100006 137.300003 15.714000 131.945450 9.508000 110.000000 55.500000 50.939999 24.754999 92.500000 54.709999 158.880005 1210.000000 59.939999 70.459999 3.300000 188.949997 60.250000 1849.199951 108.620003 6.211000 250.250000 622.500000 10.970000 104.180000 153.399994 54.000000 2.426000 44.660000 30.495001 17.700001 5.810000 26.004999 31.639999 181.759995 44.580002 5.290000 26.190001 86.379997 213.149994 10185.000000 44.910000 3836.850098
02/03/2022 642.590027 706.750000 284.119995 52.230000 50.419998 111.120003 349.600006 125.019997 202.300003 136.059998 15.800000 132.781815 9.800000 115.459999 53.720001 51.299999 24.094999 93.540001 52.700001 156.399994 1218.000000 58.580002 69.900002 3.280000 192.800003 58.430000 1757.199951 112.099998 6.470000 245.949997 627.900024 10.890000 104.160004 149.699997 54.709999 2.354000 44.465000 30.200001 17.000000 5.810000 26.735001 32.160000 179.500000 44.119999 5.230000 25.850000 85.040001 209.250000 10100.000000 45.959999 3940.989990
03/03/2022 652.020020 708.000000 290.579987 52.590000 50.480000 111.480003 355.000000 125.699997 202.600006 140.300003 15.950000 134.399994 10.160000 114.480003 52.529999 52.360001 23.940001 94.160004 56.470001 154.520004 1239.500000 58.950001 69.500000 3.250000 195.100006 57.380001 1861.199951 114.739998 6.650000 243.550003 635.099976 11.100000 102.360001 152.399994 54.310001 2.290000 44.915001 30.480000 17.110001 5.720000 27.680000 31.260000 176.720001 44.900002 5.150000 24.879999 86.160004 212.350006 9300.000000 47.090000 3920.030029
04/03/2022 603.700012 650.000000 278.359985 49.540001 48.220001 107.120003 345.350006 119.300003 195.000000 135.199997 15.654000 134.145447 9.522000 104.000000 46.250000 52.450001 22.299999 91.470001 54.340000 147.899994 1200.000000 56.080002 65.199997 3.050000 193.649994 55.009998 1771.599976 103.639999 6.176000 231.050003 605.799988 10.010000 102.260002 147.300003 53.500000 2.070000 43.770000 29.000000 15.290000 5.350000 27.370001 28.750000 162.000000 39.919998 4.750000 22.820000 80.330002 201.649994 9050.000000 46.349998 3755.270020
07/03/2022 617.390015 642.000000 280.839996 48.869999 48.779999 108.059998 349.799988 123.980003 197.320007 137.039993 16.062000 134.800003 9.494000 109.059998 51.040001 53.880001 23.350000 92.550003 53.549999 150.399994 1229.000000 54.540001 64.000000 2.930000 189.449997 57.340000 1770.599976 108.300003 6.175000 237.500000 616.000000 9.500000 99.300003 145.199997 52.389999 2.150000 44.119999 29.825001 14.670000 5.040000 26.815001 29.290001 159.039993 40.660000 4.760000 22.000000 80.599998 205.050003 8214.000000 46.630001 3819.139893
08/03/2022 574.080017 610.000000 273.500000 50.049999 50.099998 106.089996 343.049988 119.720001 192.800003 135.000000 15.666000 133.345459 9.068000 103.000000 50.000000 53.279999 23.160000 90.699997 50.849998 146.500000 1191.500000 53.320000 58.849998 3.020000 188.300003 54.360001 1655.000000 102.260002 5.916000 223.250000 595.000000 9.570000 89.010002 144.699997 50.529999 2.060000 42.950001 29.059999 14.400000 5.170000 27.110001 29.790001 151.000000 39.020000 4.720000 22.680000 75.599998 196.500000 7626.000000 45.500000 3723.969971
09/03/2022 609.150024 656.250000 284.320007 50.520000 51.029999 109.629997 325.000000 110.000000 183.479996 124.260002 15.000000 127.272728 8.780000 91.500000 45.000000 49.680000 21.465000 83.230003 46.455002 135.800003 1118.500000 56.900002 55.220001 3.150000 177.250000 49.200001 1508.000000 93.790001 5.484000 217.550003 527.200012 10.400000 89.459999 137.750000 47.599998 1.786400 39.200001 25.799999 15.810000 5.440000 26.915001 29.700001 139.000000 41.750000 4.900000 24.969999 69.660004 177.100006 8044.000000 43.400002 3529.570068
10/03/2022 599.539978 650.049988 280.540009 50.279999 50.950001 108.089996 336.600006 110.980003 180.699997 128.800003 15.030000 126.709091 9.164000 91.320000 45.000000 50.220001 21.735001 81.370003 48.500000 139.460007 1119.000000 55.880001 56.439999 3.140000 175.000000 47.880001 1445.000000 94.000000 5.509000 221.649994 530.500000 10.030000 94.250000 139.000000 46.985001 1.812200 38.849998 26.084999 15.010000 5.530000 27.395000 29.070000 132.820007 40.840000 4.860000 23.520000 69.300003 172.179993 8192.000000 43.500000 3489.159912
11/03/2022 614.000000 650.000000 288.350006 50.259998 51.480000 110.879997 336.299988 118.059998 195.820007 139.360001 15.580000 126.690910 9.792000 97.620003 50.490002 52.900002 23.330000 87.000000 51.639999 148.660004 1113.000000 57.330002 59.139999 3.160000 177.449997 51.680000 1494.000000 99.559998 5.977000 230.000000 557.400024 9.730000 98.110001 139.250000 47.990002 1.983000 42.685001 27.805000 15.080000 5.570000 26.860001 28.969999 142.600006 42.669998 4.960000 25.030001 74.010002 198.240005 8742.000000 43.410000 3548.489990
